,url,stars,material
65,https://shop.lululemon.com/p/women-tanks/Power-Y-Tank-Luon/_/prod1870029,[],[]
66,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS-Brushed/_/prod1900037,"['24', '12', '5', '2', '1']","['91% Nylon', '9% Elastane', '88% Polyester', '12% Lycra® elastane']"
67,https://shop.lululemon.com/p/womens-t-shirts/Love-Tee-Iv/_/prod8351148,"['39', '11', '10', '23', '18']",[]
68,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-luxtreme/_/prod450026,"['15', '1', '5', '1', '1']","['74% Nylon', '26% Lycra® elastane']"
69,https://shop.lululemon.com/p/tops-long-sleeve/Wunder-Train-Cropped-Long-Sleeve/_/prod9960900,"['21', '10', '5', '6', '3']","['77% Nylon', '23% Lycra® elastane']"
70,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Veil/_/prod9790150,"['25', '2', '0', '1', '0']","['51% Viscose', '49% Polyester', '35% Polyester', '65% Viscose']"
71,https://shop.lululemon.com/p/tops-short-sleeve/Train-to-Be-Short-Sleeve-Stripe/_/prod9820354,"['10', '0', '0', '3', '5']","['68% Nylon', '29% Polyester', '3% X-static® nylon']"
72,https://shop.lululemon.com/p/women-tanks/Breeze-By-Muscle-Crop-Tank-lululemon/_/prod9270952,"['163', '37', '13', '6', '10']","['65% Nylon', '31% Polyester', '4% X-static® nylon']"
73,https://shop.lululemon.com/p/tops-short-sleeve/Hold-Tight-Short-Sleeve/_/prod9960704,"['9', '1', '2', '6', '4']","['92% Lenzing® modal', '8% Elastane']"
74,https://shop.lululemon.com/p/women-tanks/Off-and-Running-Tank/_/prod9490302,"['10', '3', '0', '0', '2']","['89% Polyester', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']"
75,https://shop.lululemon.com/p/women-tanks/Train-to-Be-Tank/_/prod9820396,"['114', '15', '13', '8', '7']","['68% Nylon', '29% Polyester', '3% X-static® nylon']"
76,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Cropped/_/prod9820382,"['47', '8', '4', '1', '1']","['89% Nylon', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']"
